Group,Rule ID,Name,Description,Formula,Parameters,Validation,Dependencies,,,,,
Level to Level,LL001,Level-to-Level Pitch,Defines standard vertical spacing between levels,LevelPitch = 50mm,LevelPitch,Standard vertical spacing between levels is 50mm,None,,,,,
First Level,FL001,First Level Height,Calculates height of first rack level,FirstLevelHeight = BaseLevelHeight + 12mm,"BaseLevelHeight, FirstLevelOffset",FirstLevelHeight must be 12mm higher than standard levels,LL001,,,,,
Rack Width & Depth,RW004,Inner Width Calculation,Calculates the inner-to-inner width of the rack,InnerWidth = BeamSpan + 10mm,"BeamSpan, InnerWidthClearance",InnerWidth must accommodate the beam span plus clearance for lip connector and assembly,None,,,,,
,RW001,Rack Width Calculation,Determines rack width based on pallet configuration,RackWidth = (PalletsPerLevel * PalletWidth) + AdditionalClearance,"PalletsPerLevel, PalletWidth, AdditionalClearance",RackWidth must not exceed 3000mm,None,,,,Default Values,
,RD001,Rack Depth Validation,Validates that total rack depth falls within acceptable range,RackDepth = FrameDepth + PalletOverhang,"FrameDepth, PalletOverhang",500mm ≤ RackDepth ≤ 1500mm,"FD001, PO001",,,,Clear height ,200mm
Overhang,PO001,Pallet Overhang Range,Defines allowable pallet overhang on depth sides,PalletOverhang = 100mm,PalletOverhang,50mm ≤ PalletOverhang ≤ 150mm (100mm - typical),None,,,,,
Rack Height Rules,RH001a,Warehouse Clearance Constraint,Calculates maximum loading level based on building constraints,MaxLevelWarehouse = WarehouseClearHeight - 200mm - PalletHeight,"WarehouseClearHeight, SafetyMargin, PalletHeight",MaxLevelWarehouse must not exceed building clearance,None,,,,,
,RH001b,MHE Height Constraint,Calculates maximum loading level based on MHE capabilities,MaxLevelMHE = MHEWorkingHeight - 200mm,"MHEWorkingHeight, SafetyMargin",MaxLevelMHE must not exceed MHE working height,None,,,,,
,RH001c,Last Loading Level Determination,Determines final maximum height for last loading level,"LastLoadingLevel = MIN(MaxLevelWarehouse, MaxLevelMHE)","MaxLevelWarehouse, MaxLevelMHE",LastLoadingLevel must respect both building and MHE constraints,"RH001a, RH001b",,,,,
,RH002,Rack Height Calculation,Calculates total rack height with required extension,RackHeight = LastLoadingLevel + ExtensionHeight,"LastLoadingLevel, ExtensionHeight",RackHeight must be in multiples of 100mm,RH001,,,,,
,RH003,Extension Height Determination,Determines extension height to reach multiple of 100mm,ExtensionHeight = 250mm OR 300mm,ExtensionHeight, Default configuration of pitch 250 or 300 (multiples of 100 mm pitch),None,,,,,
,RH004,Double-Sided Depth Calculation,Calculates effective depth for double-sided units,EffectiveDepth = FrameDepth1 + FrameDepth2 + RowConnectorLength,"FrameDepth1, FrameDepth2, RowConnectorLength",EffectiveDepth must include both frames and connector,FD001,,,,,
,RH005,Height-to-Depth Ratio Validation,Validates stability based on height-to-depth ratio,HeightToDepthRatio = LastLoadingLevel ÷ FrameDepth,"LastLoadingLevel, FrameDepth",HeightToDepthRatio ≤ 6,"FD001, RH001c",,,,,
,RH006,Stability Component Requirement,Determines if additional stability components are needed,"IF(HeightToDepthRatio > 6, RequireStabilityComponents = TRUE)","HeightToDepthRatio, SafeHeightToDepthRatio",Additional stability components required when ratio exceeds 6,RH005,,,,,
Number of Loading Level,NL001,Frame Height Limitation,Enforces maximum frame height limit,FrameHeight,FrameHeight,FrameHeight ≤ 12000mm,None,,,,,
,NL006,Total Frame Load Validation,Validates total load on frame does not exceed capacity,TotalFrameLoad = Sum of loads on all levels,"LevelLoad, NumberOfLevels",TotalFrameLoad ≤ MaxFrameCapacity,None,,,,,
,NL007,Minimum Levels Requirement,Enforces minimum number of loading levels,NumberOfLevels ≥ 1,"NumberOfLevels, MinUnitsPerRow",System must have at least one loading level,None,,,,,
,NL008,Single Level Stability Requirement,Determines if stability components are needed for single level,"IF(NumberOfLevels = 1, RequireStabilityComponents = TRUE)",NumberOfLevels,Single level systems require tie rod and turnbuckle arrangement,NL007,,,,,
Level to Level Height,LLH001,Maximum USL Validation,Validates that unsupported length does not exceed maximum,Max USL <= 3000mm,"USL, MaxUSL","IF(USL > 3000mm, ""Invalid: Reduce unsupported length"", ""Valid"")",None,,,,,
Pallet Selection,PS001,Pallet Width Determination,Determines pallet width based on SKU dimensions,"PalletWidth = IF(SKUReorientable = TRUE, MIN(SKUWidth, SKUDepth), SKUWidth)","SKUReorientable, SKUWidth, SKUDepth",PalletWidth must accommodate SKU dimensions,None,,,,,
,PS002,Pallet Depth Determination,Determines pallet depth based on SKU dimensions,"PalletDepth = IF(SKUReorientable = TRUE, MAX(SKUWidth, SKUDepth), SKUDepth)","SKUReorientable, SKUWidth, SKUDepth",PalletDepth must accommodate SKU dimensions,None,,,,,
,PS003,SKUs Per Level Calculation,Calculates number of SKUs that fit on one level,"SKUsPerLevel = BestFitCalculation(SKUDimensions, PalletDimensions)","SKUDimensions, PalletDimensions",SKUsPerLevel must maximize pallet utilization,"PS001, PS002",,,,,
,PS004,Pallet Load Calculation,Calculates total load on a pallet,PalletLoad = SKUWeight × Stackability × SKUsPerLevel,"SKUWeight, Stackability, SKUsPerLevel",PalletLoad must not exceed capacity,PS003,,,,,
,PS005,Pallet Load Validation,Validates that pallet load does not exceed maximum,PalletLoad from PS004,PalletDepth,"IF(PalletLoad > 1000kg, ""Invalid: Reduce load or select different pallet"", ""Valid"")",PS004,,,,,
Frame Depth,FD001,Frame Depth Calculation,Calculates frame depth based on pallet depth with standard overhang,FrameDepth = PalletDepth - 200mm,"PalletDepth,",FrameDepth must allow for 100mm pallet overhang on both front and back sides,None,,,,,
,FD002,Frame Depth for 1200mm Pallet,Specifies frame depth for 1200mm pallets,"IF(PalletDepth = 1200mm, FrameDepth = 1000mm)", StandardFrameDepth1000,FrameDepth must equal 1000mm when PalletDepth is 1200mm,FD001,,,,,
,FD003,Frame Depth for 1000mm Pallet,Specifies frame depth for 1000mm pallets,"IF(PalletDepth = 1000mm, FrameDepth = 800mm)",StandardFrameDepth800,FrameDepth must equal 800mm when PalletDepth is 1000mm,FD001,,,,,
Beam Selection,BS001,Level Load Calculation,Calculates total load on each beam level,LevelLoad = PalletsPerLevel × LoadPerPallet,"PalletsPerLevel, LoadPerPallet",LevelLoad must be accurately calculated based on pallet configuration,None,,,,,
,BS002,Beam Capacity Validation,Validates that beam can support the calculated level load,"IF(LevelLoad > BeamCapacity, ""Invalid: Select stronger beam OR reduce load"", ""Valid"")","LevelLoad, BeamCapacity",BeamCapacity based on beam type and span,BS001,,,,,
,BS003,Beam Selection,Determines appropriate beam type based on required load capacity,"BeamType = SelectBeam(LevelLoad, BeamSpan)","RackWidth, UprightWidth LevelLoad, BeamSpan",Selected beam must have sufficient capacity for calculated load,BS001,,,,,
,BS004,Beam Span Determination,Determines required beam span based on rack width,BeamSpan = RackWidth - (2 × UprightWidth),"PalletWidth, PalletsPerLevel, SpecialPalletClearance, StandardPalletClearance",BeamSpan must accommodate rack width minus upright structures,None,,,,,
Rack Placement,RP001,Pallet Clearance,Defines minimum clear distance between pallets,PalletClearance = 100mm (standard) OR 75mm (for 3x800mm pallets),PalletDepth,"IF(PalletClearance < RequiredClearance, ""Invalid: Increase spacing between pallets"", ""Valid"")",None,,,,,
,RP002,Pallet Overhang,Defines allowable pallet overhang on depth side,PalletOverhang = 100mm (typical),"PalletWidth, PalletsPerLevel, PalletClearance","IF(PalletOverhang < 50mm OR PalletOverhang > 150mm, ""Invalid: Adjust overhang to be between 50-150mm"", ""Valid"")",None,,,,,
,RP003,System Depth Calculation,Calculates system depth based on pallet depth,SystemDepth = PalletDepth,"PalletWidth, PalletsPerLevel, PalletClearance, EdgeClearances",SystemDepth must accommodate full pallet depth,None,,,,,
,RP004,Rack Width Calculation,Calculates rack width based on pallets and clearances,RackWidth = (PalletWidth × PalletsPerLevel) + (PalletClearance × (PalletsPerLevel-1)),"LevelHeight, NumberOfLevels, TopClearance",RackWidth must accommodate all pallets with required clearances,RP001,,,,,
,RP005,System Width Calculation,Calculates system width based on number of pallets per level,SystemWidth = (PalletWidth × PalletsPerLevel) + (PalletClearance × (PalletsPerLevel-1)) + EdgeClearances,"PalletHeight, SKUHeight, BeamHeight, VerticalClearance",SystemWidth must accommodate all pallets with required clearances,RP001,,,,,
,RP006,System Height Calculation,Calculates system height based on levels and clearances,SystemHeight = Sum(LevelHeight1...LevelHeightN) + TopClearance,"PalletHeight, SKUHeight",SystemHeight must accommodate all levels with required clearances,None,,,,,
,RP007,Level Height Calculation,Calculates height required for each level,LevelHeight = PalletHeight + SKUHeight + BeamHeight + VerticalClearance,"TotalItemHeight, MaxItemHeight",LevelHeight must provide adequate clearance above SKUs,None,,,,,
,RP008,Pallet and SKU Height Validation,Validates combined height of pallet and SKUs,TotalItemHeight = PalletHeight + SKUHeight,"PalletWidth, PalletsPerLevel, SpecialPalletClearance, StandardPalletClearance","IF(TotalItemHeight > 1500mm, ""Invalid: Combined height exceeds maximum"", ""Valid"")",None,,,,,
,RP009,Horizontal Clearance Selection,Determines appropriate horizontal clearance between pallets,"HorizontalClearance = IF(PalletWidth = 800mm AND PalletsPerLevel = 3, 75mm, 100mm)",VerticalClearance,Clearance must meet minimum requirements for configuration,None,,,,,
,RP010,Vertical Clearance Validation,Validates clear vertical distance between SKU top and beam bottom,VerticalClearance = 75mm (standard),"LastLevelToTop, AdditionalBracingThreshold1, UprightHeight",VerticalClearance must meet minimum requirement,None,,,,,
,RP011,Upright Height Extension,Extends upright height to meet modular requirements,"IF(LastLevelToTop < 250mm, ExtendedHeight = UprightHeight + (250mm - LastLevelToTop))","UnitsPerRow, MinUnitsPerRow",Final upright height must be in multiples of 100mm,None,,,,,
,RA008,Minimum Units Per Row,Enforces minimum number of units in a row,UnitsPerRow ≥ 2,"PalletLoad, MHELoadCapacity",Minimum 2 units required per row for standalone SF and DF units,None,,,,,
MHE Rules,MHE001,Pallet Load vs MHE Capacity,Validates pallet load against MHE capacity at maximum fork height,"IF(PalletLoad > MHELoadCapacityAtMFH, ""Invalid: Load exceeds MHE capacity"", ""Valid"")","AisleWidth, MHEWorkingAisle",MHE Data entered or Chosen by the user,None,,,,,
,MHE002,Working Aisle Width,Validates aisle width against MHE requirements,"IF(AisleWidth < MHEWorkingAisle, ""Invalid: Aisle too narrow for selected MHE"", ""Valid"")","MHEMaxForkHeight, SafetyMargin",MHE Data entered or Chosen by the user,None,,,,,
,MHE003,Last Loading Level Height,Calculates maximum height for last loading level,LastLoadingLevel = MHEMaxForkHeight - 200mm,"StandardWallClearanceSide, StandardWallClearanceBack",LastLoadingLevel must not exceed calculated maximum,None,,,,,
,MHE004,Standard MHE Wall Clearance,Defines clearance requirements for standard MHEs,"WallClearanceSide = 100mm, WallClearanceBack = 100mm","ArticulatedWallClearanceSide, StandardWallClearanceBack",Clearances must meet minimum requirements,None,,,,,
,MHE005,Articulated Forklift Wall Clearance,Defines clearance requirements for articulated forklifts,"WallClearanceSide = 500mm, WallClearanceBack = 100mm",MHECrossAisle,Clearances must meet minimum requirements,None,,,,,
,HE006,Underpass Aisle Clearance,Defines clearance between row guards in underpass,UnderpassClearance = MHECrossAisle,"RowLength, MaxRowLengthWithoutCrossAisle",UnderpassClearance must meet MHE cross aisle requirement,None,,,,,
,MHE007,Rack Height Calculation,Calculates total rack height with required extension,RackHeight = LastLoadingLevel + ExtensionHeight,BeamToPillarClearance,RackHeight must be in multiples of 100mm,"MHE008, MHE009",,,,,
,MHE008,Last Loading Level - Warehouse Constraint,Calculates maximum loading level based on building constraints,MaxLevelWarehouse = WarehouseClearHeight - 200mm - PalletHeight,TopBracingDistance,MaxLevelWarehouse must not exceed building clearance,None,,,,,
,MHE009,Last Loading Level - MHE Constraint,Calculates maximum loading level based on MHE capabilities,MaxLevelMHE = MHEWorkingHeight - 200mm,,MaxLevelMHE must not exceed MHE working height,None,,,,,
,MHE010,Last Loading Level Determination,Determines final maximum height for last loading level,"LastLoadingLevel = MIN(MaxLevelWarehouse, MaxLevelMHE)",,LastLoadingLevel must respect both building and MHE constraints,"MHE008, MHE009",,,,,
,MHE011,Extension Height Determination,Determines extension height to reach multiple of 100mm,ExtensionHeight = 250mm OR 300mm,,ExtensionHeight must be either 250mm or 300mm,None,,,,,
Rack Orientation,RA011,Cross Aisle Placement,Determines position for cross aisle in rack rows,"IF(RowLength ≤ 30m, CrossAislePosition = RowLength ÷ 2, CrossAislePosition = 15m)",,"Cross aisle must be placed at middle for rows ≤ 30m, or every 15m for longer rows",None,,,,,
Rack Placement,BP001,Beam-to-Pillar Clearance,Defines minimum clearance between beam and building pillar,BeamToPillarClearance = 100mm,,"IF(ActualBeamToPillarClearance < 100mm, ""Invalid: Insufficient clearance between beam and pillar"", ""Valid"")",None,,,,,
