Group,Rule ID,Name,Description,Formula,Parameters,Validation
Number of Loading Levels,LL001,Minimum Loading Levels,Defines minimum number of loading levels required per system,MinLoadingLevels = 2,"MinLoadingLevels, NumberOfLevels","IF(NumberOfLevels < MinLoadingLevels, ""Warning: Below recommended minimum"")"
,LL002,Single Level Back Bracing,Requires back bracing for single level units,"IF(NumberOfLevels = 1, BackBracing = ""Required"")",NumberOfLevels,Back bracing must be installed for single level units
,LL003,Back Bracing Specification,Defines back bracing requirements for single level units,"BackBracingSpec = ""Tie rod Dia 9.5mm with turnbuckle""",BackBracingSpec,Back bracing must meet specification
,LL004,Back Bracing Placement,Defines placement of back bracing,"BackBracingPlacement = ""At extreme ends and at pitch of 5""",BackBracingPlacement,Back bracing must be properly placed
,LL005,Maximum Unsupported Length,Defines maximum allowable unsupported length,MaxUSL = 3500mm,"MaxUSL, USL","IF(USL > MaxUSL, ""Invalid: Unsupported length exceeds maximum"")"
Number of Units in a Row,UR001,Minimum Units Per Row,Defines minimum number of units required in a row,MinUnitsPerRow = 2,"MinUnitsPerRow, UnitsPerRow","IF(UnitsPerRow < MinUnitsPerRow, ""Warning: Below recommended minimum"")"
,BP001,"Base Plate Selection - Single Unit, Single Level",Defines base plate for single unit with single level,"IF(UnitsPerRow = 1 AND NumberOfLevels = 1, BasePlate = ""2H - 4 bolts"")","UnitsPerRow, NumberOfLevels, BasePlateType",Base plate must match specification
,BP002,"Base Plate Selection - Single Unit, Multiple Levels",Defines base plate for single unit with multiple levels,"IF(UnitsPerRow = 1 AND NumberOfLevels > 1, BasePlate = ""2H - 4 bolts"")","UnitsPerRow, NumberOfLevels, BasePlateType",Base plate must match specification
,BP003,"Base Plate Selection - Multiple Units, Single Level",Defines base plate for multiple units with single level,"IF(UnitsPerRow > 1 AND NumberOfLevels = 1, BasePlate = ""2H - 4 bolts"")","UnitsPerRow, NumberOfLevels, BasePlateType",Base plate must match specification
,BP004,"Base Plate Selection - Multiple Units, Multiple Levels, Short USL",Defines base plate for multiple units with multiple levels and short USL,"IF(UnitsPerRow > 1 AND NumberOfLevels > 1 AND USL <= 1750, BasePlate = ""2H - 2 bolts"")","UnitsPerRow, NumberOfLevels, USL, USLThreshold, BasePlateType",Base plate must match specification
,BP005,"Base Plate Selection - Multiple Units, Multiple Levels, Long USL",Defines base plate for multiple units with multiple levels and long USL,"IF(UnitsPerRow > 1 AND NumberOfLevels > 1 AND USL > 1750, BasePlate = ""2H - 4 bolts"")","UnitsPerRow, NumberOfLevels, USL, USLThreshold, BasePlateType",Base plate must match specification
,BB001,"Back Bracing Requirement - Single Unit, Single Level",Determines back bracing requirement for single unit with single level,"IF(UnitsPerRow = 1 AND NumberOfLevels = 1, BackBracing = ""Yes"")","UnitsPerRow, NumberOfLevels",Back bracing must be installed if required
,BB002,"Back Bracing Requirement - Single Unit, Multiple Levels",Determines back bracing requirement for single unit with multiple levels,"IF(UnitsPerRow = 1 AND NumberOfLevels > 1, BackBracing = ""No"")","UnitsPerRow, NumberOfLevels",Back bracing not required for this configuration
,BB003,"Back Bracing Requirement - Multiple Units, Single Level",Determines back bracing requirement for multiple units with single level,"IF(UnitsPerRow > 1 AND NumberOfLevels = 1, BackBracing = ""Yes"")","UnitsPerRow, NumberOfLevels",Back bracing must be installed if required
,BB004,"Back Bracing Requirement - Multiple Units, Multiple Levels",Determines back bracing requirement for multiple units with multiple levels,"IF(UnitsPerRow > 1 AND NumberOfLevels > 1, BackBracing = ""No"")","UnitsPerRow, NumberOfLevels",Back bracing not required for this configuration
Height to Depth Ratio,HD001,Height to Depth Ratio Calculation,Calculates the height to depth ratio of the rack system,HeightToDepthRatio = LastLoadingLevelHeight ÷ EffectiveDepth,HeightToDepthRatio must be calculated correctly,"LastLoadingLevelHeight, EffectiveDepth"
,HD002,Single-Sided Unit Depth,Defines effective depth for single-sided units,"IF(UnitType = ""SingleSided"", EffectiveDepth = FrameDepth)",Effective depth must be calculated correctly for unit type,"UnitType, FrameDepth"
,HD003,Double-Sided Unit Depth,Defines effective depth for double-sided units,"IF(UnitType = ""DoubleSided"", EffectiveDepth = FrameDepth1 + FrameDepth2 + RowConnectorLength)",Effective depth must be calculated correctly for unit type,"UnitType, FrameDepth1, FrameDepth2, RowConnectorLength"
